summary_level,group,trades,avg_net_return,median_net_return,win_rate,profit_factor,total_net_pnl,max_drawdown
overall,all,1403,0.018462577192643506,0.0160748963911525,0.7341411261582323,5.643329550969622,1941315.6044999997,-49615.43850000005
by_bull_regime,False,490,0.021537822715627163,0.0217919650924024,0.7714285714285715,5.357597232992684,779405.1821999998,-49615.43849999999
by_bull_regime,True,913,0.016812116835291928,0.0156914193037974,0.7141292442497261,5.856962208946827,1161910.4222999997,-36629.01800000004
by_bear_regime,False,1181,0.018139992250353135,0.0160748963911525,0.7256562235393734,6.172385113924143,1612516.9289499996,-36629.01800000004
by_bear_regime,True,222,0.020178670962215255,0.0150446494023904,0.7792792792792793,4.09219010665364,328798.6755499999,-49615.43849999999
by_correction_regime,False,1010,0.016168125541106887,0.01543574615164875,0.7188118811881188,5.689404399403152,1230677.5225499999,-36629.01800000004
by_correction_regime,True,393,0.02435925955409895,0.0230799612486544,0.7735368956743003,5.565643328979818,710638.0819499998,-49615.43849999999
by_weak_market_day,False,1028,0.01844930364514964,0.0160748963911525,0.7422178988326849,5.656084233020186,1407003.7000499996,-49615.43849999999
by_weak_market_day,True,375,0.018498964410840042,0.0172396327433628,0.712,5.610074536221153,534311.90445,-29200.59149999998
by_strong_market_day,False,786,0.017021954155759356,0.0156914193037974,0.7213740458015268,4.593227937656914,1016875.8323,-57000.59250000003
by_strong_market_day,True,617,0.02029779551839869,0.0174080732484076,0.7504051863857374,7.843184987026158,924439.7721999995,-29699.402499999967
by_taiex_day0_return_bucket,-0.5%_0,254,0.022225112313318595,0.0185367232796486,0.7913385826771654,10.072181941845253,443307.15095000004,-11627.282999999996
by_taiex_day0_return_bucket,-1%_-0.5%,163,0.016733813821494522,0.0150446494023904,0.6687116564417178,5.792073120945104,198895.91065,-13190.442500000005
by_taiex_day0_return_bucket,0.5_1%,306,0.020999166819884084,0.0184140800405268,0.7777777777777778,10.584948309716237,490266.39474999986,-13108.07250000001
by_taiex_day0_return_bucket,0_0.5%,157,0.005076215189674618,0.0117400753512132,0.6305732484076433,1.3320303593058904,39256.77689999992,-49615.438500000004
by_taiex_day0_return_bucket,<=-1%,212,0.019856132080950037,0.0200091130268199,0.7452830188679245,5.508537988190187,335415.9938,-33476.79549999995
by_taiex_day0_return_bucket,>1%,311,0.019607700282853562,0.0134790825688073,0.7234726688102894,6.172456231737078,434173.37744999974,-29699.402500000026
by_taiex_5d_return_bucket,-2%_0,329,0.02377014436020715,0.0235003238636363,0.7720364741641338,9.315668140511658,592205.7325999999,-15349.164000000106
by_taiex_5d_return_bucket,-5%_-2%,120,0.023587259034343385,0.0222913841496997,0.7083333333333334,3.382346757082071,185014.9729,-49615.438500000004
by_taiex_5d_return_bucket,0_2%,471,0.01742352991972299,0.0156914193037974,0.7643312101910829,7.3912598596896855,639331.0872499999,-34681.27449999994
by_taiex_5d_return_bucket,2_5%,408,0.015566027404279847,0.01470674831845535,0.6519607843137255,4.346168822261436,468389.4582499999,-34532.292000000045
by_taiex_5d_return_bucket,<=-5%,15,-0.012838126274907167,0.0042849878419452,0.6666666666666666,0.5579051018143926,-11804.718499999999,-26701.774999999998
by_taiex_5d_return_bucket,>5%,60,0.014788289060623126,0.011498905403878799,0.9166666666666666,28.28454530374676,68179.07199999994,-2498.8165000000004
by_taiex_20d_return_bucket,-2%_0,80,0.011702846498744254,0.0115315245901639,0.6375,3.1932550413563234,60689.95349999993,-10372.053799999998
by_taiex_20d_return_bucket,-5%_-2%,165,0.029104878248087197,0.0290158953323903,0.806060606060606,13.72922865788823,370362.6384999998,-3859.565499999997
by_taiex_20d_return_bucket,0_2%,196,0.02222434753736147,0.0196053652561247,0.7193877551020408,7.663481098190044,340223.4142,-13612.288
by_taiex_20d_return_bucket,2_5%,226,0.018081142868789347,0.017840659090909,0.7522123893805309,9.51437702740994,310957.07645,-16677.358999999997
by_taiex_20d_return_bucket,<=-5%,155,0.016473675252011283,0.0120217166979362,0.7741935483870968,2.712920641496931,168527.52500000002,-49615.438500000004
by_taiex_20d_return_bucket,>5%,581,0.01578095198057474,0.0130385192837465,0.7142857142857143,4.938040941725033,690554.9968499999,-36629.01800000004
by_year,2024,136,0.029696668701075044,0.0222931807050728,0.8529411764705882,19.333218426922688,319023.8138,-3432.768000000011
by_year,2025,887,0.016450869739381906,0.0158679958506224,0.7204058624577226,4.838905730403495,1065900.5731999998,-49615.43849999999
by_year,2026,380,0.019137703681844427,0.01315518934708865,0.7236842105263158,5.522470095761279,556391.2175,-29699.402500000026
by_quarter,2024Q4,136,0.029696668701075044,0.0222931807050728,0.8529411764705882,19.333218426922688,319023.8138,-3432.768000000011
by_quarter,2025Q1,270,0.016496988849225406,0.01442460152063855,0.7222222222222222,5.956621326313155,336560.9647499999,-18471.385500000077
by_quarter,2025Q2,255,0.01508091132410466,0.0171833228803716,0.7254901960784313,3.1720872289773983,273250.58149999985,-49615.438500000004
by_quarter,2025Q3,87,0.013010284040354992,0.0078691803468208,0.7931034482758621,5.941790031219394,74355.75270000001,-4045.387499999997
by_quarter,2025Q4,275,0.018764390437757527,0.0209315461254612,0.6909090909090909,6.539682970260432,381733.27424999984,-36629.01800000004
by_quarter,2026Q1,380,0.019137703681844427,0.01315518934708865,0.7236842105263158,5.522470095761279,556391.2175,-29699.402500000026
by_index_data_available,True,1403,0.018462577192643506,0.0160748963911525,0.7341411261582323,5.643329550969622,1941315.6044999997,-49615.43850000005
