industry,trades,trade_share_within_tech,net_pnl,pnl_share_within_tech,avg_net_return,median_net_return,win_rate,profit_factor,max_drawdown,top_10_symbols_by_trades,top_10_symbols_by_pnl
Electronic Components,307,0.25711892797319935,567813.5699999998,0.322741507581852,0.02399770854033075,0.0184140800405268,0.8078175895765473,16.68612027839518,-4655.5664000000015,1815 富喬 (32); 4939 亞電 (25); 5328 華容 (24); 3294 英濟 (21); 5340 建榮 (20); 8042 金山電 (20); 6217 中探針 (20); 6173 信昌電 (16); 8043 蜜望實 (15); 3624 光頡 (15),"5328 華容 (78,058); 8043 蜜望實 (58,409); 4939 亞電 (55,463); 5340 建榮 (53,695); 8042 金山電 (36,055); 6175 立敦 (35,678); 1815 富喬 (34,395); 6127 九豪 (26,072); 5498 凱崴 (25,827); 3624 光頡 (23,695)"
Computer/Peripheral,153,0.12814070351758794,274633.5347999999,0.1560998992220017,0.022404936164201552,0.0196162401960784,0.8104575163398693,19.932244579557466,-4514.402000000002,4931 新盛力 (45); 3323 加百裕 (32); 8234 新漢 (24); 3709 鑫聯大投控 (20); 1569 濱川 (17); 6276 安鈦克 (10); 5386 青雲 (5),"4931 新盛力 (104,969); 3709 鑫聯大投控 (58,045); 3323 加百裕 (46,728); 8234 新漢 (35,756); 5386 青雲 (22,135); 1569 濱川 (3,647); 6276 安鈦克 (3,354)"
Optoelectronics,185,0.15494137353433834,264416.44909999997,0.15029257474768357,0.0198094906082485,0.0253868787878787,0.772972972972973,4.230763464499044,-49615.438500000004,3297 杭特 (28); 8111 立碁 (26); 8064 東捷 (24); 6244 茂迪 (20); 3434 哲固 (20); 5392 能率 (14); 3230 錦明 (12); 3630 新鉅科 (12); 5251 天鉞電 (8); 5371 中光電 (8),"3297 杭特 (81,411); 6244 茂迪 (37,371); 8111 立碁 (35,432); 8064 東捷 (26,640); 3128 昇銳 (20,248); 5251 天鉞電 (15,856); 5392 能率 (14,516); 3230 錦明 (13,771); 3630 新鉅科 (12,305); 3434 哲固 (10,291)"
Communications/Internet,86,0.07202680067001675,159299.3174,0.09054468679647082,0.023000605661222796,0.015266840989952301,0.6511627906976745,6.203825452035682,-15647.672000000006,4903 聯光通 (19); 6530 創威 (19); 4909 新復興 (15); 3221 台嘉碩 (10); 3234 光環 (10); 4908 前鼎 (5); 6588 東典光電 (5); 6190 萬泰科 (3),"4903 聯光通 (71,498); 6530 創威 (35,248); 3221 台嘉碩 (23,890); 4908 前鼎 (21,110); 3234 光環 (2,516); 6588 東典光電 (2,365); 6190 萬泰科 (1,736); 4909 新復興 (936)"
Semiconductor,238,0.19932998324958123,157602.81004999985,0.08958040315005719,0.008057601899890871,0.0033667622950819,0.6008403361344538,2.294433210184636,-35887.21100000004,5351 鈺創 (43); 8088 品安 (25); 6147 頎邦 (20); 6182 合晶 (20); 4991 環宇-KY (15); 8054 安國 (15); 3264 欣銓 (15); 4973 廣穎電通 (10); 5443 均豪 (10); 5347 世界 (10),"5351 鈺創 (82,096); 8088 品安 (45,926); 4973 廣穎電通 (31,417); 4991 環宇-KY (23,214); 5443 均豪 (12,805); 6485 點序 (10,015); 6147 頎邦 (7,322); 5347 世界 (6,404); 8086 宏捷科 (5,642); 1595 川寶 (4,900)"
Electronic Distribution,84,0.07035175879396985,148599.55574999994,0.08446301247916364,0.024605799793974745,0.0324710850340136,0.8214285714285714,8.922228632469979,-12450.230500000005,8096 擎亞 (60); 6265 方土昶 (15); 6227 茂綸 (9),"8096 擎亞 (87,997); 6265 方土昶 (37,367); 6227 茂綸 (23,235)"
Information Services,91,0.076214405360134,138065.81029999992,0.07847570068065118,0.021753510623687963,0.0230799612486544,0.6923076923076923,5.519992875303385,-10971.930499999988,6148 驊宏資 (28); 6140 訊達電腦 (23); 6163 華電網 (20); 5201 凱衛 (15); 5202 力新 (5),"6140 訊達電腦 (62,735); 6148 驊宏資 (34,821); 5201 凱衛 (24,780); 6163 華電網 (9,062); 5202 力新 (6,669)"
Other Electronics,40,0.03350083752093802,31366.155,0.017828316698641152,0.011778182691767888,0.010661057354925702,0.625,7.524290934595999,-3044.331000000002,3663 鑫科 (15); 4577 達航科技 (5); 3580 友威科 (5); 8431 匯鑽科 (5); 3498 陽程 (5); 1785 光洋科 (5),"4577 達航科技 (16,052); 3663 鑫科 (8,683); 3580 友威科 (7,850); 8431 匯鑽科 (3,203); 3498 陽程 (-1,763); 1785 光洋科 (-2,659)"
Digital/Cloud,10,0.008375209380234505,17547.525999999998,0.009973898643478609,0.0243470915696191,0.024347091569619103,1.0,inf,0.0,6763 綠界科技* (10),"6763 綠界科技* (17,548)"
