summary_level,path_assumption,event_type,year,market,number_of_trades,win_rate,average_gross_return,average_net_return,median_net_return,total_net_pnl,profit_factor,max_drawdown,average_turnover
overall,close_only,,,,5866,0.3893624275485851,-0.0081548814788673,-0.011433549284603838,-0.011858475214066314,-5281616.82705,0.5579807689413064,-5306883.258559988,1053326829.6290487
overall,optimistic,,,,5866,0.515854074326628,0.006060499576128326,0.0027479375988727567,0.019009037840557276,1299603.9850897035,1.2608618388302126,-54040.40299199941,1053326829.6290487
overall,pessimistic,,,,5866,0.24684623252642346,-0.007389892513881915,-0.010670196138381695,-0.02325002,-4976597.412749803,0.37064196753291134,-4980949.539907811,1053326829.6290487
by_event_type,close_only,closed_limit_up,,,5484,0.3916849015317287,-0.00812554040703916,-0.011404280363310537,-0.011752245762711864,-4930928.50531,0.5633473228170013,-4956156.095839986,1050266789.3178337
by_event_type,close_only,near_limit_8_9,,,300,0.36333333333333334,-0.008333402364844391,-0.011611659269960037,-0.013097275823509344,-264846.60277999996,0.44705379055777705,-289278.1101299999,1113225806.0733333
by_event_type,close_only,near_limit_9_10,,,82,0.32926829268292684,-0.009464029919262212,-0.01273937573296459,-0.017537772160507014,-85841.71895999998,0.5158431091999688,-87220.62260999995,1038833758.0853659
by_event_type,optimistic,closed_limit_up,,,5484,0.5242523705324581,0.006481343719885551,0.003167775043993313,0.02655548136577591,1393526.798205503,1.304613447360181,-49876.145111999474,1050266789.3178337
by_event_type,optimistic,near_limit_8_9,,,300,0.4033333333333333,0.0004383309497303045,-0.002860802817754031,-0.023250019999999816,-56868.48186029971,0.8145662134191425,-80177.68808529977,1113225806.0733333
by_event_type,optimistic,near_limit_9_10,,,82,0.36585365853658536,-0.001515825990276635,-0.00481018952372596,-0.02325002,-37054.33125550001,0.6314705108645181,-38433.2349055,1038833758.0853659
by_event_type,pessimistic,closed_limit_up,,,5484,0.24690007293946026,-0.007386271159764353,-0.010666579932116825,-0.02325002,-4647858.925682003,0.37112417329380437,-4652211.052840005,1050266789.3178337
by_event_type,pessimistic,near_limit_8_9,,,300,0.24666666666666667,-0.007395002383603037,-0.010675365965467757,-0.02325002,-250922.1600742999,0.3681616529567308,-265831.56587929983,1113225806.0733333
by_event_type,pessimistic,near_limit_9_10,,,82,0.24390243902439024,-0.007613386965886397,-0.010893126955829446,-0.02325002,-77816.32699350006,0.34907000404779237,-79195.23064350004,1038833758.0853659
by_year,close_only,,2023,,1422,0.38115330520393814,-0.007747198176961773,-0.011026895953554067,-0.011879553666568003,-1242146.2776800003,0.5646515324061064,-1258512.6595399987,768229924.709564
by_year,close_only,,2024,,1751,0.3792118789263278,-0.009692182049659059,-0.012967181742370423,-0.012450302752293578,-1825284.04518,0.5153371361504947,-1840676.2933299982,892427098.7578527
by_year,close_only,,2025,,1473,0.418194161575017,-0.005703422398444761,-0.008987879613196375,-0.011651118421052632,-1017932.33895,0.6330089006011879,-1060806.8904999997,1161374054.5940259
by_year,close_only,,2026,,1220,0.37868852459016394,-0.009383497529126051,-0.012659239472461758,-0.01181854349544073,-1196254.16524,0.5319455671934396,-1238623.5444900012,1486105243.7090163
by_year,optimistic,,2023,,1422,0.49859353023909986,0.005191484692274361,0.0018810146646067987,-0.0013753309188892946,203251.04593940044,1.1605517838428778,-48162.513579000064,768229924.709564
by_year,optimistic,,2024,,1751,0.5225585379782981,0.006382471432618377,0.003069116115518281,0.026630029999999794,443059.384287401,1.297450840013723,-30893.355296000012,892427098.7578527
by_year,optimistic,,2025,,1473,0.5451459606245757,0.007357199136175753,0.004041538779430968,0.026630029999999996,478585.1633944011,1.4027680699392417,-53902.466719000106,1161374054.5940259
by_year,optimistic,,2026,,1220,0.49098360655737705,0.005045686454961445,0.0017355657061822937,-0.0032979999999999997,174708.39146850078,1.1682722849152845,-54040.40299200002,1486105243.7090163
by_year,pessimistic,,2023,,1422,0.2552742616033755,-0.006974478739511866,-0.010255764479667456,-0.02325002,-1166509.6311531006,0.3874738572029109,-1169939.1073670986,768229924.709564
by_year,pessimistic,,2024,,1751,0.21873215305539692,-0.008808847813526697,-0.012085768147702576,-0.02325002,-1711538.105170601,0.31368814177255566,-1709839.2007986025,892427098.7578527
by_year,pessimistic,,2025,,1473,0.28716904276985744,-0.005541646756560172,-0.008826378026083378,-0.02325002,-1013469.4239131005,0.46198370418595724,-1014050.9783750986,1161374054.5940259
by_year,pessimistic,,2026,,1220,0.22868852459016392,-0.008069067643399225,-0.011347736556239232,-0.02325002,-1085080.2525130007,0.3324470504263425,-1085004.4629229994,1486105243.7090163
by_market,close_only,,,TPEX,2434,0.39071487263763355,-0.008670790036978765,-0.0119481947737062,-0.012215115042745285,-2290916.3125,0.5464920112597931,-2317539.130450002,629036393.2551355
by_market,close_only,,,TWSE,3432,0.3884032634032634,-0.007788995281185681,-0.011068558864884967,-0.011698854663394109,-2990700.51455,0.566395081243454,-3030860.203660006,1354236771.9758158
by_market,optimistic,,,TPEX,2434,0.5414954806902219,0.007313875076564465,0.003998308084603741,0.026630029999999937,761990.557215002,1.3936902040025825,-28351.94709700001,629036393.2551355
by_market,optimistic,,,TWSE,3432,0.4976689976689977,0.005171596322031134,0.0018611655236194893,-0.002134036461500213,537613.4278747013,1.1764718223937198,-55754.77622149984,1354236771.9758158
by_market,pessimistic,,,TPEX,2434,0.24445357436318818,-0.0075382202397872335,-0.010818166876339077,-0.02325002,-2077943.7663255008,0.3624482293989757,-2080511.681473505,629036393.2551355
by_market,pessimistic,,,TWSE,3432,0.24854312354312355,-0.007284697384262582,-0.010565254187277882,-0.02325002,-2898653.6464243014,0.37638735079007973,-2903548.0433068043,1354236771.9758158
